id,total_a_bordo,pasajero_a_bordo,tripulantes_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulantes_fallecidos,fallecidos_en_tierra
493,14,0,14,11,0,11,0
494,19,0,19,13,0,13,0
495,2,0,0,2,0,0,0
496,12,7,5,8,5,3,0
497,14,10,4,14,10,4,0
498,3,0,0,3,0,0,0
499,9,6,3,9,6,3,0
500,7,3,4,7,3,4,0
501,1,0,1,1,0,1,0
502,8,5,3,8,5,3,0
503,19,14,5,19,14,5,0
504,6,5,1,1,5,1,0
505,2,0,0,2,0,0,0
506,9,7,2,9,7,2,0
507,17,14,3,6,6,0,0
508,10,7,3,10,7,3,0
509,1,0,1,1,0,1,0
510,3,0,3,3,0,3,0
511,3,1,2,3,1,2,0
512,4,0,0,4,0,0,0
513,10,8,2,1,1,0,0
514,20,16,4,20,16,4,0
515,4,0,4,4,0,4,0
516,14,12,2,14,12,2,0
517,4,0,4,4,0,4,0
518,15,6,9,15,6,9,0
519,12,10,2,12,10,2,0
520,6,3,3,6,3,3,0
521,11,8,3,11,8,3,0
522,17,14,3,16,13,3,0
523,9,5,4,9,5,4,0
524,7,4,3,0,0,0,0
525,15,13,2,15,13,2,0
526,17,13,4,14,12,2,0
527,5,0,0,5,0,0,53
528,11,8,3,0,0,0,0
529,9,8,1,5,4,1,0
530,4,0,4,4,0,4,0
531,13,10,3,13,10,3,0
532,20,16,4,20,16,4,0
533,18,14,4,18,14,4,0
534,2,0,0,2,0,0,0
535,14,13,1,14,13,1,1
536,19,14,5,6,2,4,0
537,2,0,2,2,0,2,0
538,15,10,5,12,9,3,0
539,6,0,6,4,0,4,0
540,7,4,3,5,3,2,0
541,8,5,3,8,5,3,0
542,15,12,3,10,7,3,0
543,4,0,4,4,0,4,0
544,13,0,0,13,0,0,0
545,17,12,5,5,2,3,0
546,10,7,3,10,7,3,0
547,4,2,2,4,2,2,0
548,4,1,3,4,1,3,0
549,13,8,5,3,2,1,0
550,6,5,1,6,5,1,0
551,10,6,4,10,6,4,0
552,3,0,3,3,0,3,0
553,8,6,2,8,6,2,0
554,10,8,2,10,8,2,0
555,12,9,3,8,7,1,0
556,9,0,0,9,0,0,0
557,4,0,4,2,0,2,0
558,9,6,3,9,6,3,0
559,1,0,1,1,0,1,22
560,4,0,4,0,0,0,1
561,3,1,2,3,1,2,0
562,3,1,2,3,1,2,0
563,6,4,2,6,4,2,0
564,7,4,3,7,4,3,0
565,16,12,4,14,10,4,0
566,6,4,2,5,4,1,0
567,2,1,1,2,1,1,0
568,7,4,3,7,4,3,0
569,20,15,5,1,1,0,0
570,5,3,2,5,3,2,0
571,2,0,2,2,0,2,0
572,9,6,3,9,6,3,0
573,8,6,2,5,3,2,0
574,7,3,4,7,3,4,0
575,9,5,4,8,5,3,0
576,10,4,6,10,4,6,0
